ID_Entidad,Distrito,ID_Circunscripcion,Porcentaje1,Porcentaje2,Porcentaje3,Promedio1
15,39,5,0.42100028417163965,0.16316987022607912,0.9333901676612674,3.8651510845884247
15,4,5,0.3840252170810039,0.15335120643431635,0.9522591717786199,3.752366225424391
15,40,5,0.6022196002590421,0.2225072691850907,0.9070287341536333,4.176734118148026
15,41,5,0.27748371459794746,0.08411043669712381,0.9872097779568613,3.329621421637759
15,5,5,0.5079468079432523,0.1504744153464139,0.9402922718626109,3.7110526409358386
15,6,5,0.22862061210013668,0.0855738867049043,0.9943772599089982,3.389500181657757
15,7,5,0.20860927152317882,0.08112285889724234,0.9698233439538259,3.4196873905283
15,8,5,0.27915836956963463,0.11711779936675538,0.9887227211769009,3.6269151054577966
15,9,5,0.8753319637220023,0.42696153194373837,0.5983664879490905,4.439134138397555
16,1,5,0.5452337761132893,0.3399129239055495,0.9432675990403183,3.574726432207853
16,10,5,0.2434443424675495,0.14504907479929507,0.9794152353481054,3.378826865084568
16,11,5,0.6435938907344096,0.3696246755144792,0.8868023205136897,3.9716521553853155
16,12,5,0.5633114355988668,0.4280837043845722,0.9391014664217442,3.723766825451187
16,2,5,0.5713912293389329,0.3717154185391537,0.9583162700729291,3.632296177539231
16,3,5,0.6734477687157389,0.3776724835317231,0.9023459596219313,3.7603233536629266
16,4,5,0.4840068029066965,0.38959551883143007,0.9526343073858831,3.6348166944057914
16,5,5,0.4199320978922054,0.3277403828328553,0.9790016268213326,3.5520052341208093
16,6,5,0.6847192510745197,0.367994974228644,0.9065315094302593,3.8950307145801033
16,7,5,0.642350784654808,0.38709374381410266,0.8562276714737295,3.858696668724164
16,8,5,0.3416815596412629,0.18163972678422063,0.9487192041847219,3.527627487942811
16,9,5,0.394861651672728,0.2558028476027991,0.9446713030902402,3.7719432569812206
17,1,4,0.23336785563825305,0.12104298567144285,0.9835960539250105,3.2852566353040302
17,2,4,0.343713387186286,0.1740932033893328,0.974453615694289,3.5137994520741023
17,3,4,0.46740319404944214,0.24310226075682684,0.9395464158098155,3.5760683293225406
17,4,4,0.4612176137796836,0.23230844810353882,0.9556502468379517,3.4875229721451477
17,5,4,0.5248786731374326,0.21325524267406795,0.8595897107709811,3.635797201927008
18,1,1,0.683310320686101,0.34177715511168855,0.8596487816261839,3.452480504074211
18,2,1,0.28674822415153906,0.1317819157154423,0.9800947119179163,3.3401499605367007
18,3,1,0.4658462893234544,0.21945660889409732,0.9674860318231507,3.4003325033402163
19,1,2,0.16035737921906024,0.09431883460252463,0.9778375248180013,3.628110522832561
19,10,2,0.18422613329769372,0.09284112493489238,0.9773048105114562,3.2929241461112455
19,11,2,0.1907462658113222,0.10312606297479542,0.9944142065980993,3.485878237329495
19,12,2,0.3785634724917677,0.10716355085290798,0.990777896134596,3.432631461187881
19,2,2,0.1740009499480096,0.06046939269295911,0.9976379671112594,3.5411365999563538
19,3,2,0.2589306046850567,0.10405436346521864,0.9888035342877529,3.6479982996553764
19,4,2,0.1450498785850233,0.07402604169682092,0.9980064973419964,3.3828591586270265
19,5,2,0.28483126019575855,0.16432765792984222,0.9896003262642741,4.063748980424143
19,6,2,0.14282938204430626,0.07593385169120022,0.9935483870967742,3.258655266226195
19,7,2,0.39196244514746403,0.1056101713767465,0.9876354730074497,3.424831105214818
19,8,2,0.1825602937770867,0.08232902657642986,0.996981175770007,3.594824163827042
19,9,2,0.5132754994742377,0.2317701883595125,0.876150105152471,3.353254797581493
20,1,3,0.6593185464499697,0.3996774205059217,0.7771815487251071,3.4965601007949383
20,10,3,0.7322081408995348,0.46656140427976356,0.6551051596180312,3.841403591722321
20,2,3,0.7559606513644195,0.5095466069885696,0.5904796309675985,3.6911669352896497
20,3,3,0.5884451880559302,0.2654743051143207,0.7076383316545166,3.679954928038516
20,4,3,0.6330888943208669,0.3980200506498671,0.7645807870936201,3.670048073005785
20,5,3,0.6577871311346791,0.401616284500831,0.7608248183941148,3.478774956386897
20,6,3,0.8207431126383817,0.5343585163887709,0.5798172481793155,3.880635335923619
20,7,3,0.6679361022364217,0.42563190056826733,0.8565793397231097,3.4991863684771034
20,8,3,0.29967470018347975,0.13923512294950915,0.9253671810599279,3.5898119997518148
20,9,3,0.7503438599082425,0.5051584994882512,0.7553194435469727,3.7161794164074253
21,1,4,0.7384654601070609,0.4335985992809834,0.8360665023932932,3.7212639608765024
21,10,4,0.3029143462366326,0.11626005452707668,0.9593289828829137,3.5738631316409855
21,11,4,0.35314293915040185,0.13864705679194705,0.9497775545350172,3.563899253731343
21,12,4,0.21672853075786516,0.08068272824345969,0.9936394104292047,3.239332948935097
21,13,4,0.5942266895646025,0.30839266529489956,0.9196551840253224,3.8460282183385526
21,14,4,0.7334463396546245,0.38205671749684955,0.8568351167143412,3.798433803015856
21,15,4,0.5119689013162382,0.28121719280255864,0.9416302939371206,3.869134897360704
21,2,4,0.7878346588999664,0.4732494463804439,0.8364698853664911,3.866220454800045
21,3,4,0.7273833561693228,0.32666533699103123,0.8964628254128506,3.8499224778250523
21,4,4,0.7977858771707564,0.5147608967702426,0.7939462451517337,4.289122341980627
21,5,4,0.5657828960767252,0.19594594594594594,0.9731628742293237,4.131269556201515
21,6,4,0.38227359265174277,0.15578172368990906,0.9645580127944852,3.8559853467955136
21,7,4,0.6649600147072341,0.2738787350265858,0.8857615589668169,4.404853387259858
21,8,4,0.7527163844297345,0.4064104876612747,0.8785663498803289,4.257618394303854
21,9,4,0.2866542432458689,0.11092781652283033,0.9814001960663092,3.476273327033305
22,1,2,0.664764053892613,0.2950971655550805,0.8539302227826818,3.9343598592951485
22,2,2,0.43712321149585587,0.16473663087208903,0.9643490771715817,3.648592587361973
22,3,2,0.18779466893585703,0.1047350405398823,0.977122191301948,3.456348750028748
22,4,2,0.12583980704410747,0.09626074961921953,0.9858630895768818,3.381719407436715
22,5,2,0.30848161365788795,0.15771158299739005,0.9502756540118792,3.434391836376294
23,1,3,0.3982395145799549,0.13307365439093485,0.9400226194251794,3.137505759575856
23,2,3,0.499002837739297,0.25067617702673595,0.9172135684352021,3.485833267441554
23,3,3,0.34277321684115386,0.14655159547476196,0.9691854334563531,3.2888171273631093
23,4,3,0.3284697112091623,0.10886991791934444,0.9690713986099385,3.092950402735522
24,1,2,0.6317207425172475,0.29495093474953926,0.8243864301486513,3.8366948051262004
24,2,2,0.44113601610585607,0.1777978137180234,0.9393878852611438,3.746770760494548
24,3,2,0.6487537788300953,0.3549003907883887,0.7738409826015263,3.6368095046825784
24,4,2,0.5831458836039426,0.24865558810319677,0.8502412989243794,3.4286021021635107
24,5,2,0.2735231084959599,0.11186554999718959,0.9619768119893072,3.4513937796760343
